Kirloskar Brothers Ltd.,KIRLOSBROS.NS,,,,
Whirlpool of India Ltd.,WHIRLPOOL.NS,,,,
Godawari Power & Ispat Ltd.,GPIL.NS,,,,
Finolex Cables Ltd.,FINCABLES.NS,,,,
Indegene Ltd.,NA,,,,
Ramkrishna Forgings Ltd.,RKFORGE.NS,,,,
Mahanagar Gas Ltd.,MGL.NS,,,,
Swan Energy Ltd.,SWANENERGY.NS,,,,
Zen Technologies Ltd.,ZENTEC.NS,,,,
Newgen Software Technologies Ltd.,NEWGEN.NS,,,,
NCC Ltd.,NCC.NS,,,,
Great Eastern Shipping Company Ltd.,GESHIP.NS,,,,
Cyient Ltd.,CYIENT.NS,,,,
Kajaria Ceramics Ltd.,KAJARIACER.NS,,,,
Gravita India Ltd.,GRAVITA.NS,,,,
Fine Organic Industries Ltd.,FINEORG.NS,,,,
Clean Science & Technology Ltd.,CLEAN.NS,,,,
eClerx Services Ltd.,ECLERX.NS,,,,
Blue Jet Healthcare Ltd.,NA,,,,
IndiaMART InterMESH Ltd.,INDIAMART.NS,,,,
Minda Corporation Ltd.,MINDACORP.NS,,,,
Bombay Burmah Trading Corporation Ltd.,BBTC.NS,,,,
BEML Ltd.,BEML.NS,,,,
Alivus Life Sciences Ltd.,NA,,,,
LT Foods Ltd.,DAAWAT.NS,,,,
Jyothy Labs Ltd.,JYOTHYLAB.NS,,,,
Maharashtra Scooters Ltd.,MAHSCOOTER.NS,,,,
TBO Tek Ltd.,NA,,,,
Jai Balaji Industries Ltd.,JAIBALAJI.NS,,,,
City Union Bank Ltd.,CUB.NS,,,,
Sobha Ltd.,SOBHA.NS,,,,
KSB Ltd.,KSB.NS,,,,
Welspun Living Ltd.,WELSPUNLIV.NS,,,,
Cello World Ltd.,NA,,,,
Force Motors Ltd.,FORCEMOT.NS,,,,
IFCI Ltd.,IFCI.NS,,,,
ACME Solar Holdings Ltd.,NA,,,,
Ceat Ltd.,CEATLTD.NS,,,,
HFCL Ltd.,HFCL.NS,,,,
Techno Electric & Engineering Company Ltd.,TECHNOE.NS,,,,
Shakti Pumps (India) Ltd.,SHAKTIPUMP.NS,,,,
Tata Teleservices (Maharashtra) Ltd.,TTML.NS,,,,
Nuvoco Vistas Corporation Ltd.,NUVOCO.NS,,,,
Supreme Petrochem Ltd.,SUPPETRO.NS,,,,
Balrampur Chini Mills Ltd.,BALRAMCHIN.NS,,,,
Granules India Ltd.,GRANULES.NS,,,,
Sanofi Consumer Healthcare India Ltd.,NA,,,,
Finolex Industries Ltd.,FINPIPE.NS,,,,
Ingersoll-Rand (India) Ltd.,INGERRAND.NS,,,,
Craftsman Automation Ltd.,CRAFTSMAN.NS,,,,
Inox Wind Energy Ltd.,IWEL.NS,,,,
Aether Industries Ltd.,AETHER.NS,,,,
Lemon Tree Hotels Ltd.,LEMONTREE.NS,,,,
Zydus Wellness Ltd.,ZYDUSWELL.NS,,,,
Rites Ltd.,RITES.NS,,,,
RBL Bank Ltd.,RBLBANK.NS,,,,
Titagarh Rail Systems Ltd.,TITAGARH.NS,,,,
Westlife Foodworld Ltd.,WESTLIFE.NS,,,,
Jammu & Kashmir Bank Ltd.,J&KBANK.NS,,,,
Kirloskar Oil Engines Ltd.,KIRLOSENG.NS,,,,
R R Kabel Ltd.,RRKABEL,,,,
Relaxo Footwears Ltd.,RELAXO.NS,,,,
Gallantt Ispat Ltd.,GALLANTT.NS,,,,
Choice International Ltd.,CHOICEIN.NS,,,,
Jupiter Life Line Hospitals Ltd.,JUPITER.NS,,,,
Birlasoft Ltd.,BSOFT.NS,,,,
NMDC Steel Ltd.,NA,,,,
Jubilant Ingrevia Ltd.,JUBLINGREA.NS,,,,
Jaiprakash Power Ventures Ltd.,JPPOWER.NS,,,,
SBFC Finance Ltd.,SBFC.NS,,,,
G R Infraprojects Ltd.,GRINFRA.NS,,,,
Zee Entertainment Enterprises Ltd.,ZEEL.NS,,,,
RHI Magnesita India Ltd.,RHIM.NS,,,,
Reliance Infrastructure Ltd.,RELINFRA.NS,,,,
Raymond Ltd.,RAYMOND.NS,,,,
Usha Martin Ltd.,USHAMART.NS,,,,
Eureka Forbes Ltd.,NA,,,,
Avanti Feeds Ltd.,AVANTIFEED.NS,,,,
Elecon Engineering Company Ltd.,ELECON.NS,,,,
Vijaya Diagnostic Centre Ltd.,VIJAYA.NS,,,,
Paradeep Phosphates Ltd.,PARADEEP.NS,,,,
Quess Corp Ltd.,QUESS.NS,,,,
Saregama India Ltd.,SAREGAMA.NS,,,,
ITD Cementation India Ltd.,ITDCEM.NS,,,,
Railtel Corporation of India Ltd.,RAILTEL.NS,,,,
C.E. Info Systems Ltd.,MAPMYINDIA.NS,,,,
Sapphire Foods India Ltd.,SAPPHIRE.NS,,,,
Tega Industries Ltd.,TEGA.NS,,,,
Data Patterns (India) Ltd.,DATAPATTNS.NS,,,,
Ami Organics Ltd.,AMIORG.NS,,,,
Graphite India Ltd.,GRAPHITE.NS,,,,
Safari Industries (India) Ltd.,SAFARI.NS,,,,
Praj Industries Ltd.,PRAJIND.NS,,,,
